symbol,name,gics_sector,gics_sub_sector,headquarters,date_added,cik,founded,wikipedia_page,nyse_page,page_content
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2006-02-01,0001014473,1995,https://en.wikipedia.org/wiki/Verisign,https://www.nasdaq.com/market-activity/stocks/vrsn,"Verisign, Inc. is an American company based in Reston, Virginia, that operates a diverse array of ne"
VRSK,Verisk,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,0001442145,1971,https://en.wikipedia.org/wiki/Verisk,https://www.nasdaq.com/market-activity/stocks/vrsk,"Verisk Analytics, Inc. is an American multinational data analytics and risk assessment firm based in"
VZ,Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York",1983-11-30,0000732712,1983 (1877),https://en.wikipedia.org/wiki/Verizon,https://www.nyse.com/quote/XNYS:VZ,"Verizon Communications Inc. ( və-RY-zən), is an American telecommunications company headquartered in"
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",2013-09-23,0000875320,1989,https://en.wikipedia.org/wiki/Vertex_Pharmaceuticals,https://www.nasdaq.com/market-activity/stocks/vrtx,"Vertex Pharmaceuticals Incorporated is an American biopharmaceutical company based in Boston, Massac"
VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",2004-04-23,0001792044,1961,https://en.wikipedia.org/wiki/Viatris,https://www.nasdaq.com/market-activity/stocks/vtrs,Viatris Inc. is an American global pharmaceutical and healthcare corporation headquartered in Canons
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2022-06-08,0001705696,2017,https://en.wikipedia.org/wiki/Vici_Properties,https://www.nyse.com/quote/XNYS:VICI,Vici Properties Inc. is a real estate investment trust (REIT) specializing in casino and entertainme
V,Visa Inc.,Financials,Transaction & Payment Processing Services,"San Francisco, California",2009-12-21,0001403161,1958,https://en.wikipedia.org/wiki/Visa_Inc.,https://www.nyse.com/quote/XNYS:V,Visa Inc. () is an American multinational payment card services corporation headquartered in San Fra
VST,Vistra,Utilities,Electric Utilities,"Irving, Texas",2024-05-08,0001692819,2016,https://en.wikipedia.org/wiki/Vistra_Corp,https://www.nyse.com/quote/XNYS:VST,"Vistra is a Fortune 500 integrated retail electricity and power generation company based in Irving, "
VMC,Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama",1999-06-30,0001396009,1909,https://en.wikipedia.org/wiki/Vulcan_Materials_Company,https://www.nyse.com/quote/XNYS:VMC,"Vulcan Materials Company (NYSE: VMC) is an American company based in Birmingham, Alabama. It is prin"
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,0000011544,1967,https://en.wikipedia.org/wiki/W._R._Berkley_Corporation,https://www.nyse.com/quote/XNYS:WRB,W. R. Berkley Corporation is a commercial lines property & casualty insurance holding company organi
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",1981-06-30,0000277135,1927,https://en.wikipedia.org/wiki/W._W._Grainger,https://www.nyse.com/quote/XNYS:GWW,"W. W. Grainger, Inc., is an American Fortune 500 industrial supply company founded in 1927 in Chicag"
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",2019-02-27,0000943452,1999 (1869),https://en.wikipedia.org/wiki/Wabtec,https://www.nyse.com/quote/XNYS:WAB,"Westinghouse Air Brake Technologies Corporation, commonly known as Wabtec, is an American company fo"
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",1979-12-31,0001618921,2014,https://en.wikipedia.org/wiki/Walgreens_Boots_Alliance,https://www.nasdaq.com/market-activity/stocks/wba,"Walgreens Boots Alliance, Inc. (WBA) is an American multinational holding company headquartered in D"
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,0000104169,1962,https://en.wikipedia.org/wiki/Walmart,https://www.nyse.com/quote/XNYS:WMT,"Walmart Inc. (  ; formerly Wal-Mart Stores, Inc.) is an American multinational retail corporation th"
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,"Burbank, California",1976-06-30,0001744489,1923,https://en.wikipedia.org/wiki/The_Walt_Disney_Company,https://www.nyse.com/quote/XNYS:DIS,The Walt Disney Company (commonly referred to as simply Disney) is an American multinational mass me
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York",2022-04-11,0001437107,2022 (Warner Bros. 1923),https://en.wikipedia.org/wiki/Warner_Bros._Discovery,https://www.nasdaq.com/market-activity/stocks/wbd,"Warner Bros. Discovery, Inc. (WBD) is an American multinational mass media and entertainment conglom"
WM,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",1998-08-31,0000823768,1968,https://en.wikipedia.org/wiki/Waste_Management_(corporation),https://www.nyse.com/quote/XNYS:WM,"Waste Management, Inc., doing business as WM, is a waste management, comprehensive waste, and enviro"
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,"Milford, Massachusetts",2002-01-02,0001000697,1958,https://en.wikipedia.org/wiki/Waters_Corporation,https://www.nyse.com/quote/XNYS:WAT,Waters Corporation is an American publicly traded analytical laboratory instrument and software comp
WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",2008-10-31,0000783325,1896,https://en.wikipedia.org/wiki/WEC_Energy_Group,https://www.nyse.com/quote/XNYS:WEC,"WEC Energy Group is an American company based in Milwaukee, Wisconsin that provides electricity and "
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",1976-06-30,0000072971,1852,https://en.wikipedia.org/wiki/Wells_Fargo,https://www.nyse.com/quote/XNYS:WFC,Wells Fargo & Company is an American multinational financial services company with a significant glo
WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",2009-01-30,0000766704,1970,https://en.wikipedia.org/wiki/Welltower,https://www.nyse.com/quote/XNYS:WELL,Welltower Inc. is a real estate investment trust that invests in healthcare infrastructure. It is ra
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",2020-05-22,0000105770,1923,https://en.wikipedia.org/wiki/West_Pharmaceutical_Services,https://www.nyse.com/quote/XNYS:WST,"West Pharmaceutical Services, Inc. is a designer and manufacturer of injectable pharmaceutical packa"
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",2009-07-01,0000106040,1970,https://en.wikipedia.org/wiki/Western_Digital,https://www.nasdaq.com/market-activity/stocks/wdc,"Western Digital Corporation (WDC, commonly known as Western Digital or WD) is an American computer d"
WY,Weyerhaeuser,Real Estate,Timber REITs,"Seattle, Washington",1979-10-01,0000106535,1900,https://en.wikipedia.org/wiki/Weyerhaeuser,https://www.nyse.com/quote/XNYS:WY,"The Weyerhaeuser Company ( WAIR-how-zər) is an American timberland company which owns nearly 12,400,"
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1975-03-31,0000107263,1908,https://en.wikipedia.org/wiki/Williams_Companies,https://www.nyse.com/quote/XNYS:WMB,"The Williams Companies, Inc., is an American energy company based in Tulsa, Oklahoma. Its core busin"
WTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",2016-01-05,0001140536,2016,https://en.wikipedia.org/wiki/Willis_Towers_Watson,https://www.nasdaq.com/market-activity/stocks/wtw,"Willis Towers Watson plc, branded as WTW and stylised in its logo as wtw, is a British-American mult"
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2008-11-14,0001174922,2002,https://en.wikipedia.org/wiki/Wynn_Resorts,https://www.nasdaq.com/market-activity/stocks/wynn,"Wynn Resorts, Limited is an American publicly traded corporation based in Paradise, Nevada, that is "
XEL,Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota",1957-03-04,0000072903,1909,https://en.wikipedia.org/wiki/Xcel_Energy,https://www.nasdaq.com/market-activity/stocks/xel,Xcel Energy Inc. is a U.S. regulated electric utility and natural gas delivery company based in Minn
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,"White Plains, New York",2011-11-01,0001524472,2011,https://en.wikipedia.org/wiki/Xylem_Inc.,https://www.nyse.com/quote/XNYS:XYL,"Xylem Inc. is a large American water technology provider, in public utility, residential, commercial"
YUM,Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,0001041061,1997,https://en.wikipedia.org/wiki/Yum!_Brands,https://www.nyse.com/quote/XNYS:YUM,"Yum! Brands, Inc. (sometimes called simply Yum!), formerly Tricon Global Restaurants, Inc., is an Am"
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",2019-12-23,0000877212,1969,https://en.wikipedia.org/wiki/Zebra_Technologies,https://www.nasdaq.com/market-activity/stocks/zbra,Zebra Technologies Corporation is an American mobile computing company specializing in technology us
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,"Warsaw, Indiana",2001-08-07,0001136869,1927,https://en.wikipedia.org/wiki/Zimmer_Biomet,https://www.nyse.com/quote/XNYS:ZBH,"Zimmer Biomet Holdings, Inc. is a publicly traded medical device company. It was founded in 1927 to "
ZTS,Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey",2013-06-21,0001555280,1952,https://en.wikipedia.org/wiki/Zoetis,https://www.nyse.com/quote/XNYS:ZTS,"Zoetis Inc. (/zō-EH-tis/) is an American drug company, the world's largest producer of medicine and "
