symbol,name,gics_sector,gics_sub_sector,headquarters,date_added,cik,founded,wikipedia_page,nyse_page,page_content
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,0000723125,1978,https://en.wikipedia.org/wiki/Micron_Technology,https://www.nasdaq.com/market-activity/stocks/mu,"Micron Technology, Inc. is an American producer of computer memory and computer data storage includi"
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,0000789019,1975,https://en.wikipedia.org/wiki/Microsoft,https://www.nasdaq.com/market-activity/stocks/msft,Microsoft Corporation is an American multinational corporation and technology company headquartered 
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,"Memphis, Tennessee",2016-12-02,0000912595,1977,https://en.wikipedia.org/wiki/Mid-America_Apartment_Communities,https://www.nyse.com/quote/XNYS:MAA,"Mid-America Apartment Communities, Inc. (MAA) is a publicly traded real estate investment trust base"
MRNA,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",2021-07-21,0001682852,2010,https://en.wikipedia.org/wiki/Moderna,https://www.nasdaq.com/market-activity/stocks/mrna,"Moderna, Inc. ( mə-DUR-nə) is an American pharmaceutical and biotechnology company based in Cambridg"
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",2013-12-23,0000851968,1878,https://en.wikipedia.org/wiki/Mohawk_Industries,https://www.nyse.com/quote/XNYS:MHK,"Mohawk Industries is an American flooring manufacturer based in Calhoun, Georgia, United States. Moh"
MOH,Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California",2022-03-02,0001179929,1980,https://en.wikipedia.org/wiki/Molina_Healthcare,https://www.nyse.com/quote/XNYS:MOH,"Molina Healthcare, Inc. is a managed care company headquartered in Long Beach, California, United St"
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois",1976-06-30,0000024545,"2005 (Molson 1786, Coors 1873)",https://en.wikipedia.org/wiki/Molson_Coors_Beverage_Company,https://www.nyse.com/quote/XNYS:TAP,Molson Coors is a Canadian-American multinational drink and brewing company headquartered in Chicago
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2012-10-02,0001103982,2012,https://en.wikipedia.org/wiki/Mondelez_International,https://www.nasdaq.com/market-activity/stocks/mdlz,"Mondelez International, Inc. ( MON-də-LEEZ), styled as Mondelēz International, is an American multin"
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",2021-02-12,0001280452,1997,https://en.wikipedia.org/wiki/Monolithic_Power_Systems,https://www.nasdaq.com/market-activity/stocks/mpwr,"Monolithic Power Systems, Inc. is an American, publicly traded company headquartered in Kirkland, Wa"
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",2012-06-28,0000865752,2012 (1935),https://en.wikipedia.org/wiki/Monster_Beverage,https://www.nasdaq.com/market-activity/stocks/mnst,Monster Beverage Corporation is an American beverage company that manufactures energy drinks includi
